event_id,episode_id,event_type,begin_date,end_date,begin_time,end_time,state,state_fips,cz_name,cz_type,cz_fips,begin_lat,begin_lon,end_lat,end_lon,magnitude,magnitude_type,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage_property,damage_crops,source,tor_f_scale,tor_length,tor_width,flood_cause,event_narrative,episode_narrative,load_time
10082,5071,Thunderstorm Wind,2023-06-10,2023-06-10,1800,1815,KENTUCKY,21,FAYETTE,C,067,38.0406,-84.5037,,,60,MG,0,0,0,0,30K,0,Public,,,,,Trees and power lines downed in Lexington from thunderstorm winds.,Severe storms along a warm front across the Bluegrass region.,2023-06-11 06:00:00
10083,5072,Hail,2023-05-20,2023-05-20,1445,1500,ARKANSAS,05,BENTON,C,007,36.3729,-94.2088,,,1.50,MTS,0,0,0,0,250K,0,Trained Spotter,,,,,Quarter-size hail in Bentonville damaged outdoor equipment and vehicles.,Supercells along outflow boundary in northwest Arkansas.,2023-05-21 06:00:00
10084,5073,Tornado,2023-03-28,2023-03-28,1830,1850,ALABAMA,01,LEE,C,081,32.6099,-85.4808,32.6400,-85.4500,105,EG,4,0,0,0,3.0M,0,NWS Storm Survey,EF2,3.2,200,,Tornado struck Auburn area causing significant damage to university housing.,Supercell thunderstorms along warm front across east-central Alabama.,2023-03-29 06:00:00
10085,5074,Flash Flood,2023-07-05,2023-07-05,1500,1900,ARIZONA,04,MARICOPA,C,013,33.4484,-112.0740,,,,,0,0,0,0,500K,0,Emergency Manager,,,,Heavy Rain,Monsoon thunderstorm produced flash flooding in Phoenix metro washes.,North American Monsoon brought heavy thunderstorms to the Desert Southwest.,2023-07-06 06:00:00
10086,5075,Thunderstorm Wind,2023-09-02,2023-09-02,1430,1445,TENNESSEE,47,HAMILTON,C,065,35.0456,-85.3097,,,65,MG,0,0,0,0,40K,0,ASOS,,,,,Thunderstorm winds caused tree and power line damage in Chattanooga.,Pre-frontal severe thunderstorms across the Tennessee Valley.,2023-09-03 06:00:00
10087,5076,Heavy Rain,2023-10-05,2023-10-06,,,,HAWAII,15,MAUI,C,009,20.7984,-156.3319,,,,,0,0,0,0,1.0M,0,Rain Gauge,,,,,"Heavy rain event produced 12 inches in 24 hours causing mudslides on Haleakala slopes.",Kona low brought prolonged heavy rainfall to Maui County.,2023-10-07 06:00:00
10088,5077,Thunderstorm Wind,2023-07-14,2023-07-14,1600,1615,NEBRASKA,31,SARPY,C,153,41.1100,-96.0440,,,60,MG,0,0,0,0,20K,0,ASOS,,,,,Trees downed by thunderstorm winds in Bellevue area.,Evening thunderstorms crossed the Omaha metro.,2023-07-15 06:00:00
10089,5078,Tornado,2023-04-20,2023-04-20,1500,1510,SOUTH CAROLINA,45,FLORENCE,C,041,34.1954,-79.7626,34.2100,-79.7400,75,EG,0,0,0,0,200K,50K,NWS Storm Survey,EF0,1.0,75,,Brief weak tornado in rural Florence County damaged farm structures.,Isolated supercell formed along sea breeze boundary.,2023-04-21 06:00:00
10090,5079,Flash Flood,2023-08-10,2023-08-10,1600,2000,GEORGIA,13,DEKALB,C,089,33.7690,-84.2283,,,,,0,0,0,0,3.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in east Atlanta metro with road closures and structure flooding.,Heavy thunderstorms stalled over DeKalb County.,2023-08-11 06:00:00
10091,5080,Dust Storm,2023-06-15,2023-06-15,1400,1600,ARIZONA,04,PINAL,C,021,32.8800,-111.7200,,,,,2,0,0,1,100K,0,Law Enforcement,,,,,"Haboob reduced visibility to near zero on I-10 causing multi-vehicle pileup.",Thunderstorm outflow generated dense dust storm across the Phoenix basin.,2023-06-15 18:00:00
10092,5081,Thunderstorm Wind,2023-05-12,2023-05-12,1730,1745,TEXAS,48,BEXAR,C,029,29.4241,-98.4936,,,65,MG,0,0,0,0,50K,0,ASOS,,,,,Thunderstorm winds in San Antonio downed trees and damaged fencing.,Severe thunderstorms along outflow boundary over south-central Texas.,2023-05-13 06:00:00
10093,5082,Hail,2023-06-08,2023-06-08,1600,1615,IOWA,19,LINN,C,113,42.0083,-91.6441,,,1.75,MTS,0,0,0,0,750K,200K,Trained Spotter,,,,,Golf ball-size hail damaged crops and buildings in Cedar Rapids area.,Supercells developed along warm front across eastern Iowa.,2023-06-09 06:00:00
10094,5083,Tornado,2023-05-15,2023-05-15,1630,1650,OKLAHOMA,40,CREEK,C,037,35.9988,-96.0050,36.0200,-95.9700,100,EG,1,0,0,0,1.0M,0,NWS Storm Survey,EF1,2.5,175,,Tornado damaged homes and barns west of Sapulpa.,Supercells along dryline in central Oklahoma.,2023-05-16 06:00:00
10095,5084,Flash Flood,2023-09-15,2023-09-15,2000,0200,NORTH CAROLINA,37,MECKLENBURG,C,119,35.2271,-80.8431,,,,,0,0,0,0,4.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Charlotte metro after 6 inches of rain from tropical remnants.,Tropical moisture produced heavy rainfall across the Carolinas.,2023-09-16 06:00:00
10096,5085,Thunderstorm Wind,2023-08-18,2023-08-18,1500,1515,MISSOURI,29,ST. LOUIS CITY,C,510,38.6270,-90.1994,,,70,MG,0,0,0,0,100K,0,ASOS,,,,,Severe thunderstorm winds caused tree damage and power outages in St. Louis.,Strong cold front produced a squall line across Missouri.,2023-08-19 06:00:00
10097,5086,Rip Current,2023-07-01,2023-07-01,1200,1600,FLORIDA,12,VOLUSIA,C,127,29.2108,-81.0228,,,,,3,0,1,0,0,0,Lifeguard,,,,,"Strong rip currents caused multiple rescues and one drowning at Daytona Beach.",Persistent easterly swell from offshore tropical disturbance.,2023-07-02 06:00:00
10098,5087,Thunderstorm Wind,2023-06-30,2023-06-30,1645,1700,MICHIGAN,26,WASHTENAW,C,161,42.2808,-83.7430,,,60,MG,0,0,0,0,15K,0,Public,,,,,Trees downed in Ann Arbor from thunderstorm winds.,Afternoon thunderstorms along lake-breeze convergence.,2023-07-01 06:00:00
10099,5088,Tornado,2023-03-18,2023-03-18,0300,0315,TEXAS,48,WILLIAMSON,C,491,30.5083,-97.6789,30.5200,-97.6500,85,EG,1,0,0,0,750K,0,NWS Storm Survey,EF1,1.5,125,,Nighttime tornado damaged homes in Round Rock.,QLCS produced tornadoes across central Texas.,2023-03-18 12:00:00
10100,5089,Heavy Snow,2023-11-20,2023-11-21,,,,NEW HAMPSHIRE,33,HILLSBOROUGH,C,011,42.9956,-71.4548,,,,,0,0,0,0,0,0,NWS Observation,,,,,"Early season snowstorm brought 12-16 inches to Manchester area.",Nor'easter tracked along the New England coast.,2023-11-22 06:00:00
10101,5090,Flash Flood,2023-07-08,2023-07-08,1800,2200,ILLINOIS,17,ST. CLAIR,C,163,38.5200,-90.0000,,,,,0,0,0,0,2.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in East St. Louis metro area with multiple road closures.,Heavy thunderstorms stalled over the Metro East.,2023-07-09 06:00:00
10102,5091,Thunderstorm Wind,2023-09-05,2023-09-05,1430,1445,OKLAHOMA,40,OKLAHOMA,C,109,35.4676,-97.5164,,,65,MG,0,0,0,0,25K,0,ASOS,,,,,Thunderstorm winds downed trees in northwest Oklahoma City.,Late summer severe storms along outflow boundary.,2023-09-06 06:00:00
10103,5092,Coastal Flood,2023-10-28,2023-10-29,,,,NEW JERSEY,34,CAPE MAY,C,009,38.9351,-74.9060,,,,,0,0,0,0,500K,0,Tide Gauge,,,,,"Coastal flooding along southern New Jersey shore with 2-3 feet above normal tide.",Strong onshore flow from nor'easter caused tidal flooding.,2023-10-30 06:00:00
10104,5093,Thunderstorm Wind,2023-08-25,2023-08-25,1600,1615,INDIANA,18,LAKE,C,089,41.5934,-87.3463,,,60,MG,0,0,0,0,15K,0,ASOS,,,,,Trees and power lines downed in Gary area from thunderstorm winds.,Lake-enhanced thunderstorms moved across northwest Indiana.,2023-08-26 06:00:00
10105,5094,Tornado,2023-06-02,2023-06-02,1545,1600,KANSAS,20,RENO,C,155,37.6921,-97.8507,37.7100,-97.8300,90,EG,0,0,0,0,300K,100K,NWS Storm Survey,EF1,1.8,150,,Tornado damaged farm buildings and grain bins near Hutchinson.,Isolated supercell over south-central Kansas.,2023-06-03 06:00:00
10106,5095,Excessive Heat,2023-08-10,2023-08-14,,,,LOUISIANA,22,ORLEANS,C,071,29.9511,-90.0715,,,,,3,6,1,0,0,0,NWS Observation,,,,,"Heat index exceeded 120F in New Orleans for 5 consecutive days.",Bermuda High pumped extreme heat and humidity across the Gulf Coast.,2023-08-15 06:00:00
